index,train_loss,val_loss
0,27811826.0,27751462.0
1,18417404.0,17178198.0
2,2636132.0,4175442.75
3,1947430.25,4044776.75
4,1833180.5,3620176.0
5,1534472.875,3219942.25
6,1306053.75,2831816.75
7,998110.438,2501122.75
8,1029884.375,2187626.5
9,866139.625,1961309.125
10,705660.625,1796478.0
11,637351.688,1637516.125
12,657856.438,1520295.75
13,509910.938,1454056.25
14,380870.656,1367360.0
3,381055.094,1301138.125
4,429872.531,1281644.875
5,352082.031,1282973.75
6,414210.875,1229301.0
7,325478.219,1257301.75
8,396965.938,1249522.875
9,288513.094,1192225.5
10,273533.25,1205967.125
11,246937.062,1215974.75
12,255675.016,1228912.0
13,226888.984,1230552.375
14,227740.25,1161872.25
15,226755.062,1222387.25
16,241687.281,1171236.5
17,268183.594,1152725.25